date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-03-02,m5ad.8xlarge,io,prod,30.8312035476,40.142778,32,4624448.0256,131.072,4,2,2,16,2312224.0128,0.024001206664434100
2023-03-02,m5d.4xlarge,io,prod,110.1257773109,287.11277900000000,16,16537696.070400000,65.536,2,1,1,8,8268848.035200000,0.023972674103548900
2023-03-02,m5d.8xlarge,io,prod,676.4850809901000,958.302516,32,110396449.8432,131.072,4,2,2,16,55198224.9216,0.022060005507635200
2023-03-02,m5dn.4xlarge,io,prod,2.4742491895,6.132225,16,353216.16,65.536,2,1,1,8,176608.08,0.02521769412305490
2023-03-02,m5dn.8xlarge,io,prod,11.0239471865,15.682499,32,1806623.8848,131.072,4,2,2,16,903311.9424,0.021967057009098200
2023-03-02,m5n.4xlarge,cmp,prod,14.8506441354,29.556669,16,1702464.1344,65.536,2,1,1,8,851232.0672000000,0.031402904652838200
2023-03-02,m6a.4xlarge,cmp,prod,0.014087596,0.034444,16,1983.9744,65.536,2,1,1,8,991.9872,0.0255625
2023-03-02,m6i.4xlarge,cmp,prod,0.1927684176,0.516944,16,29775.9744,65.536,2,1,1,8,14887.9872,0.02330625
2023-03-02,m6id.8xlarge,io,prod,0.2241969262,0.310556,32,35776.0512,131.072,4,2,2,16,17888.0256,0.022560034080004900
2023-03-02,m6idn.8xlarge,io,prod,354.58591516020000,537.704158,32,61943519.0016,131.072,4,2,2,16,30971759.5008,0.020607632810524500
2023-03-02,m6in.4xlarge,cmp,prod,94.6592419552,137.59387900000000,16,7925407.430400000,65.536,2,1,1,8,3962703.7152,0.04299757129603130
2023-03-02,r5.2xlarge,cmp,prod,1750.739754994,8005.648386000000,8,230562673.5168,65.536,1,1,1,0,0,0.027336008131078300
2023-03-02,r5a.2xlarge,cmp,prod,146.6122693369,714.671095,8,20582527.536,65.536,1,1,1,0,0,0.025643311721054700
2023-03-02,r5ad.4xlarge,io,prod,3248.9936043252,6156.648629,16,354622961.03040000,131.072,2,2,2,0,0,0.032982570958139500
2023-03-02,r5ad.8xlarge,io,prod,11.0508105394,13.291668,32,1531200.1536000000,262.144,4,5,4,0,0,0.0259815268750506
2023-03-02,r5b.2xlarge,cmp,prod,321.0468455964,906.178036,8,26097927.4368,65.536,1,1,1,0,0,0.04428584020497050
2023-03-02,r5d.4xlarge,io,prod,1235.2061453051,3020.309981,16,173969854.90560000,131.072,2,2,2,0,0,0.02556041749595790
2023-03-02,r5d.8xlarge,io,prod,6.290631504600000,7.783887,32,896703.7824,262.144,4,5,4,0,0,0.025255021625924200
2023-03-02,r5dn.4xlarge,io,prod,3819.3778879101,9016.720534,16,519363102.7584,131.072,2,2,2,0,0,0.026474272668677700
2023-03-02,r5n.2xlarge,cmp,prod,330.0817034081,1526.6500190000000,8,43967520.5472,65.536,1,1,1,0,0,0.027026635058793100
2023-03-02,r6a.2xlarge,cmp,prod,75.8789856862,389.346651,8,11213183.5488,65.536,1,1,1,0,0,0.02436099857649730
2023-03-02,r6i.2xlarge,cmp,prod,239.2621641608,1153.83307,8,33230392.416,65.536,1,1,1,0,0,0.025920361703708100
2023-03-02,r6id.4xlarge,io,prod,184.76414139680000,276.634442,16,15934143.8592,131.072,2,2,2,0,0,0.04174374945437920
2023-03-02,r6idn.4xlarge,io,prod,615.5109665713,1189.0025050000000,16,68486544.288,131.072,2,2,2,0,0,0.03235437709250770
2023-03-02,r6in.2xlarge,cmp,prod,435.2568907272,2075.465587,8,59773408.9056,65.536,1,1,1,0,0,0.026214412651160000
2023-03-03,c5.2xlarge,cmp,prod,17.712,72,8,2073600,16.384,1,0,0,8,2073600,0.03075
2023-03-03,c5.2xlarge,io,prod,70.848,288,8,8294400,16.384,1,0,0,8,8294400,0.03075
2023-03-03,c5ad.16xlarge,io,prod,73.6828859361,65.82861100000000,64,15166911.974400000,131.072,8,2,2,48,11375183.980800000,0.017489281260264800
2023-03-03,c5d.18xlarge,io,prod,5071.5632146267,3750.569152,72,972147524.1984,147.456,9,2,2,56,756114741.0432,0.018780717039536500
2023-03-03,c6id.16xlarge,io,prod,6.0390949206,4.461945,64,1028032.128,131.072,8,2,2,48,771024.096,0.021147920499776400
2023-03-03,m5.4xlarge,cmp,prod,2.3961456858,6.256946,16,360400.0896,65.536,2,1,1,8,180200.0448,0.02393485661575150
2023-03-03,m5a.4xlarge,cmp,prod,3.959026618,10.389443,16,598431.9168,65.536,2,1,1,8,299215.9584,0.023816403210932500
2023-03-03,m5ad.8xlarge,io,prod,11.341560052100000,14.931672,32,1720128.6144,131.072,4,2,2,16,860064.3072,0.023736374039566700
