EAN,Description,Size,BSP,Soc Date,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Old National #,Group,Group Item,Merch Cat. Code,Merch Cat. Desc
6009711080374,CARLSON BEER LITE_24,340ML,179.56,2023-03-03T07:05:00,229.9800,229.9800,229.9800,229.9800,229.9800,227.9800,3081986,CARLSON BEER(24),MPREM,M,PREM
6009711080411,CARLSON BEER LITE CAN_6,500ML,185.00,2023-03-03T07:05:00,69.9800,69.9800,69.9800,69.9800,69.9800,69.3800,3107816,CARLSON BEER (6),MPREM,M,PREM
6009711080428,CARLSON BEER LITE CAN_24,500ML,185.00,2023-03-03T07:05:00,239.9800,239.9800,239.9800,239.9800,239.9800,237.9000,3107820,CARLSON BEER(24),MPREM,M,PREM
6009711080664,MAYFAIR GIN & DRY LEMON,500ML,258.50,2023-03-03T07:05:00,19.4900,19.4900,19.4900,19.4900,19.4900,19.3200,3079719,MAYFAIR GIN DRY,MCOOL,M,COOL
6009711080671,MAYFAIR GIN & DRY LEMON_6,500ML,258.50,2023-03-03T07:05:00,94.9900,94.9900,94.9900,94.9900,94.9900,94.1600,3079847,MAYFAIR GIN D(6),MCOOL,M,COOL
6009711080688,MAYFAIR GIN & DRY LEMO_24,500ML,258.50,2023-03-03T07:05:00,339.9800,339.9800,339.9800,339.9800,339.9800,337.0300,3079849,MAYFAIR GIN (24),MCOOL,M,COOL
6009711080718,ESTRELLA CERVEZA,340ML,276.60,2023-03-03T07:05:00,18.9800,18.9800,18.9800,18.9800,18.9800,18.8200,3115172,ESTRELLA CERVEZA,MPREM,M,PREM
6009711080725,ESTRELLA CERVEZA_6,340ML,276.60,2023-03-03T07:05:00,89.9800,89.9800,89.9800,89.9800,89.9800,89.2000,3115170,ESTRELLA CERV(6),MPREM,M,PREM
6009711080732,ESTRELLA CERVEZA_24,340ML,276.60,2023-03-03T07:05:00,339.9800,339.9800,339.9800,339.9800,339.9800,337.0300,3115174,ESTRELLA CER(24),MPREM,M,PREM
6009711290001,L&LAST SHAMP NAT,250ML,234.89,2023-03-03T07:05:00,59.9800,64.9800,70.4800,62.9800,61.9800,61.4500,3113021,L&LAST SHAMP,HHCET,H,HCET
6009711290186,O/OIL MOUSSE W/SET C/NUT,207ML,796.34,2023-03-03T07:05:00,101.9800,109.9800,120.4800,107.9800,104.9800,104.0700,3112020,O/OIL MOUSSE,HHCET,H,HCET
6009711290193,VAN OIL COCONUT,100ML,318.52,2023-03-03T07:05:00,82.9800,89.9800,97.4800,87.9800,85.9800,85.2400,3111919,VAN COCONUT OIL,HHCET,H,HCET
6009711290209,VAN OIL CASTOR HAIR,100ML,318.52,2023-03-03T07:05:00,82.9800,89.9800,97.4800,87.9800,85.9800,85.2400,3112028,VAN CASTOR HAIR,HHCET,H,HCET
6009711290629,VAN OIL JOJOBA,100ML,318.52,2023-03-03T07:05:00,82.9800,89.9800,97.4800,87.9800,85.9800,85.2400,3111931,VAN JOJOBA OIL,HHCET,H,HCET
6009711290681,VAN OIL VITAMIN E,100ML,318.52,2023-03-03T07:05:00,82.9800,89.9800,97.4800,87.9800,85.9800,85.2400,3111936,VAN OIL VIT E,HHCET,H,HCET
6009711808404,CARLSON BEER LITE CAN,500ML,185.00,2023-03-03T07:05:00,13.9800,13.9800,13.9800,13.9800,13.9800,13.8600,3107818,CARLSON BEER LIT,MPREM,M,PREM
6009711860013,MDP CUPCAKE LUMO,4'S,261.81,2023-03-03T07:04:00,35.9800,35.9800,35.9800,35.9800,35.9800,35.6700,3031231,MDP C/C LUMO,BSSHE,B,SSHE
6009711860020,MDP CUPCAKE LUMO,6'S,276.71,2023-03-03T07:04:00,44.9800,44.9800,44.9800,44.9800,44.9800,44.5900,3029805,MDP C/C LUMO,BSSHE,B,SSHE
6009711860037,MDP CUPCAKE CANDY,4'S,261.81,2023-03-03T07:04:00,35.9800,35.9800,35.9800,35.9800,35.9800,35.6700,3029821,MDP C/C CANDY,BSSHE,B,SSHE
6009711860044,MDP CUPCAKE CANDY,6'S,276.71,2023-03-03T07:04:00,44.9800,44.9800,44.9800,44.9800,44.9800,44.5900,3029832,MDP C/C CANDY,BSSHE,B,SSHE
6009711860051,MDP CUPCAKE FLAVOURED,4'S,261.81,2023-03-03T07:04:00,35.9800,35.9800,35.9800,35.9800,35.9800,35.6700,3031239,MDP C/CAKE FLAV,BSSHE,B,SSHE
6009711860068,MDP CUPCAKE FLAVOURED,6'S,276.71,2023-03-03T07:04:00,44.9800,44.9800,44.9800,44.9800,44.9800,44.5900,3031243,MDP C/CAKE FLAV,BSSHE,B,SSHE
6009711860075,MDP CUPCAKE ROCKY ROAD,6'S,276.71,2023-03-03T07:04:00,44.9800,44.9800,44.9800,44.9800,44.9800,44.5900,3031251,MDP C/CAKE RROAD,BSSHE,B,SSHE
6009711860082,MDP CUPCAKE SEASONAL,6'S,195.82,2023-03-03T07:04:00,39.9800,39.9800,39.9800,39.9800,39.9800,39.6400,3031255,MDP C/CAKE SEAS,BSSHE,B,SSHE
6009711860099,MDP CUPCAKE GOUR CHOC,4'S,357.59,2023-03-03T07:04:00,49.9800,49.9800,49.9800,49.9800,49.9800,49.5500,3031259,MDP C/CAKE G/CHO,BSSHE,B,SSHE
6009711860105,MDP CUPCAKE GOUR CHOC,6'S,404.42,2023-03-03T07:04:00,64.9800,64.9800,64.9800,64.9800,64.9800,64.4200,3031263,MDP C/CAKE G/CHO,BSSHE,B,SSHE
6009711860112,MDP CUPCAKE GOUR R/VELV,4'S,357.59,2023-03-03T07:04:00,49.9800,49.9800,49.9800,49.9800,49.9800,49.5500,3031294,MDP C/CAKE G/R/V,BSSHE,B,SSHE
6009711860129,MDP CUPCAKE GOUR R/VELV,6'S,404.42,2023-03-03T07:04:00,64.9800,64.9800,64.9800,64.9800,64.9800,64.4200,3031298,MDP C/CAKE G/R/V,BSSHE,B,SSHE
6009711860136,MDP CUPCAKE GOUR B/FOREST,4'S,357.59,2023-03-03T07:04:00,49.9800,49.9800,49.9800,49.9800,49.9800,49.5500,3031302,MDP C/CAKE G/B/F,BSSHE,B,SSHE
6009711860143,MDP CUPCAKE GOUR B/FOREST,6'S,404.42,2023-03-03T07:04:00,64.9800,64.9800,64.9800,64.9800,64.9800,64.4200,3031306,MDP C/CAKE G/B/F,BSSHE,B,SSHE
6009711860150,MDP CUPCAKE GOUR CARROT,4'S,357.59,2023-03-03T07:04:00,49.9800,49.9800,49.9800,49.9800,49.9800,49.5500,3031310,MDP C/CAKE G/CAR,BSSHE,B,SSHE
6009711860167,MDP CUPCAKE GOUR CARROT,6'S,404.42,2023-03-03T07:04:00,64.9800,64.9800,64.9800,64.9800,64.9800,64.4200,3031314,MDP C/CAKE G/CAR,BSSHE,B,SSHE
6009711860174,MDP CUPCAKE GOUR C/CARAM,4'S,309.69,2023-03-03T07:04:00,42.9800,42.9800,42.9800,42.9800,42.9800,42.6100,3031318,MDP C/CAKE G/C/C,BSSHE,B,SSHE
6009711860181,MDP CUPCAKE GOUR C/CARAM,6'S,404.42,2023-03-03T07:04:00,64.9800,64.9800,64.9800,64.9800,64.9800,64.4200,3031322,MDP C/CAKE G/C/C,BSSHE,B,SSHE
6009711860198,MDP CUPCAKE PARTY PACK,6'S,157.51,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031326,MDP C/CAKE PARTY,BSSHE,B,SSHE
6009711860204,MDP CUPCAKE P/PK VANILLA,9'S,175.60,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031330,MDP C/CAKE P/P V,BSSHE,B,SSHE
6009711860211,MDP CUPCAKE P/PK CHOC,9'S,175.60,2023-03-03T07:04:00,45.9800,45.9800,45.9800,45.9800,45.9800,45.5800,3031593,MDP C/CAKE CHOC,BSSHE,B,SSHE
6009711860228,MDP CUPCAKE P/PK,12'S,285.22,2023-03-03T07:04:00,114.9800,114.9800,114.9800,114.9800,114.9800,113.9800,3031597,MDP C/CAKE P/PK,BSSHE,B,SSHE
6009711860235,MDP CUPCAKE CARAMEL MINI,9'S,319.28,2023-03-03T07:04:00,38.9800,38.9800,38.9800,38.9800,38.9800,38.6500,3031601,MDP C/CAKE CARAM,BSSHE,B,SSHE
6009711860242,MDP CUPCAKE LUMO MINI,9'S,319.28,2023-03-03T07:04:00,39.9800,39.9800,39.9800,39.9800,39.9800,39.6400,3031605,MDP C/CAKE LUMO,BSSHE,B,SSHE
6009711860259,MDP CUPCAKE CHOC&VAN MINI,9'S,319.28,2023-03-03T07:04:00,39.9800,39.9800,39.9800,39.9800,39.9800,39.6400,3031613,MDP C/CAKE CHOC&,BSSHE,B,SSHE
6009711860266,MDP CUPCAKE MINI P/PK,12'S,272.45,2023-03-03T07:04:00,51.9800,51.9800,51.9800,51.9800,51.9800,51.5300,3031621,MDP C/CAKE MINI,BSSHE,B,SSHE
6009711860273,MDP MUFFIN BANANA,4'S,223.50,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031637,MDP MUFFIN BAN,BSSHE,B,SSHE
6009711860280,MDP MUFFIN BANANA,6'S,217.11,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031784,MDP MUFFIN BAN,BSSHE,B,SSHE
6009711860297,MDP MUFFIN BLUEBERRY,4'S,223.55,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031794,MDP MUFFIN BLUEB,BSSHE,B,SSHE
6009711860303,MDP MUFFIN BLUEBERRY,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031798,MDP MUFFIN BLUEB,BSSHE,B,SSHE
6009711860310,MDP MUFFIN BRAN,4'S,223.55,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031810,MDP MUFFIN BRAN,BSSHE,B,SSHE
6009711860327,MDP MUFFIN BRAN,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031818,MDP MUFFIN BRAN,BSSHE,B,SSHE
6009711860334,MDP MUFFIN CAPPUCCINO,4'S,223.55,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031822,MDP MUFFIN CAPPU,BSSHE,B,SSHE
6009711860341,MDP MUFFIN CAPPUCCINO,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031830,MDP MUFFIN CAPPU,BSSHE,B,SSHE
6009711860358,MDP MUFFIN CARROT,4'S,223.55,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031838,MDP MUFFIN CARRO,BSSHE,B,SSHE
6009711860365,MDP MUFFIN CARROT,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031842,MDP MUFFIN CARRO,BSSHE,B,SSHE
6009711860372,MDP MUFFIN CHOC CHIP,4'S,217.16,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031846,MDP MUFFIN C/CHI,BSSHE,B,SSHE
6009711860389,MDP MUFFIN CHOC CHIP,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031850,MDP MUFFIN C/CHI,BSSHE,B,SSHE
6009711860396,MDP MUFFIN DBL CHOC,4'S,223.55,2023-03-03T07:04:00,31.9800,31.9800,31.9800,31.9800,31.9800,31.7100,3031854,MDP MUFFIN D/CH,BSSHE,B,SSHE
6009711860402,MDP MUFFIN DBL CHOC,6'S,217.16,2023-03-03T07:04:00,43.9800,43.9800,43.9800,43.9800,43.9800,43.6000,3031859,MDP MUFFIN D/CHO,BSSHE,B,SSHE
