relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-03,c5.2xlarge,io,prod,41.328,168,8,4838400,0.030750000000000000
2023-06-03,m5.4xlarge,cmp,prod,96.71140086850000,234.817228,16,13525472.3328,0.025741137504107000
2023-06-03,m5a.4xlarge,cmp,prod,66.52821145210000,113.762224,16,6552704.1024,0.0365500345330472
2023-06-03,m5ad.8xlarge,io,prod,154.1012003903,127.183335,32,14651520.192,0.03786394272643410
2023-06-03,m5d.8xlarge,io,prod,2989.2370592918,2765.452771,32,318580159.2192,0.03377879350624020
2023-06-03,m5dn.8xlarge,io,prod,75.6172833674,62.837774,32,7238911.564800000,0.0376054076204426
2023-06-03,m5n.4xlarge,cmp,prod,24.824800539000000,41.535289,16,2392432.6464,0.03735498346207490
2023-06-03,m6a.4xlarge,cmp,prod,36.7002097884,62.874995,16,3621599.712,0.036481324758355800
2023-06-03,m6id.8xlarge,io,prod,8.1611746389,6.856943000000000,32,789919.8336000000,0.037193937220365600
2023-06-03,m6idn.8xlarge,io,prod,97.2529385633,81.545276,32,9394015.7952,0.03726953269620580
2023-06-03,m6in.4xlarge,cmp,prod,5.7376965876,9.505275,16,547503.84,0.03772705542185790
2023-06-03,r5.2xlarge,cmp,prod,1990.6430224824,10293.508426,8,296453042.6688,0.024173524469245900
2023-06-03,r5a.2xlarge,cmp,prod,14.2132114657,47.414993000000000,8,1365551.7984,0.03747024560801900
2023-06-03,r5ad.4xlarge,io,prod,1064.8752708159,1880.9594550000000,16,108343264.60800000,0.035383380672601300
2023-06-03,r5b.2xlarge,cmp,prod,150.4749336342,502.785578,8,14480224.646400000,0.03741031470929540
2023-06-03,r5d.4xlarge,io,prod,2425.050176604,4308.267255,16,248156193.88800000,0.03518018429842050
2023-06-03,r5dn.4xlarge,io,prod,3093.8425735359,5460.338833,16,314515516.7808,0.03541266700838710
2023-06-03,r5n.2xlarge,cmp,prod,122.7629705686,412.080825,8,11867927.76,0.037238741504351700
2023-06-03,r6a.2xlarge,cmp,prod,72.7314147859,242.27973000000000,8,6977656.224000000,0.03752450462214690
2023-06-03,r6i.2xlarge,cmp,prod,155.5220806467,538.913599,8,15520711.6512,0.036073055341172600
2023-06-03,r6id.4xlarge,io,prod,5.498187711,9.17861,16,528687.9360000000,0.03743886404776980
2023-06-03,r6idn.4xlarge,io,prod,185.6989984848,310.581396,16,17889488.4096,0.03736922930599490
2023-06-03,r6in.2xlarge,cmp,prod,27.7892626594,92.323323,8,2658911.7024,0.037624922062489000
2023-06-04,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-04,c5.2xlarge,io,prod,41.328,168,8,4838400,0.030750000000000000
2023-06-04,m5.4xlarge,cmp,prod,51.5031833276,126.539731,16,7288688.5056,0.02543824720138690
2023-06-04,m5ad.8xlarge,io,prod,288.3865336183,238.124163,32,27431903.577600000,0.03784613481485240
2023-06-04,m5d.8xlarge,io,prod,5293.1349049434,5044.396677000000,32,581114497.1904000,0.03279093147723150
2023-06-04,m5dn.8xlarge,io,prod,148.609518137,122.97777100000000,32,14167039.219200000,0.03776330798662180
2023-06-04,m6a.4xlarge,cmp,prod,129.6131760519,231.321113,16,13324096.1088,0.03501981897883980
2023-06-04,m6id.8xlarge,io,prod,89.786619688,74.769442,32,8613439.7184,0.03752645185248270
2023-06-04,m6idn.8xlarge,io,prod,54.0127183691,45.008331000000000,32,5184959.7312,0.03750188935098200
2023-06-04,r5.2xlarge,cmp,prod,1951.4416622791,10229.102587000000,8,294598154.50560000,0.023846687009952800
2023-06-04,r5ad.4xlarge,io,prod,1553.4517589873000,2766.517546,16,159351410.6496,0.035094928306920000
2023-06-04,r5b.2xlarge,cmp,prod,27.1926199577,89.729451,8,2584208.1888,0.037881403004599900
2023-06-04,r5d.4xlarge,io,prod,2412.6531244259,4283.034188,16,246702769.22880000,0.03520654135778260
2023-06-04,r5dn.4xlarge,io,prod,3574.7045115311,6266.657211,16,360959455.35360000,0.035652026981549500
