date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-02 00:00:00,m5d.8xlarge,io,prod,1656.0176982212,1782.164726,32,205305376.4352,131.072,4,2,2,16,102652688.2176,0.02903803016321880
2023-11-02 00:00:00,m5dn.8xlarge,io,prod,95.5118623919,76.864168,32,8854752.1536,131.072,4,2,2,16,4427376.0768,0.03883143182850660
2023-11-02 00:00:00,m5n.4xlarge,cmp,prod,24.403666999,36.949715,16,2128303.584,65.536,2,1,1,8,1064151.792,0.04127851019791360
2023-11-02 00:00:00,m6a.4xlarge,cmp,prod,197.5255985203,546.195321,16,31460850.489600000,65.536,2,1,1,8,15730425.2448,0.02260244537598070
2023-11-02 00:00:00,m6i.4xlarge,cmp,prod,13.0583789222,34.374162,16,1979951.7312,65.536,2,1,1,8,989975.8656,0.02374308594453880
2023-11-02 00:00:00,m6id.8xlarge,io,prod,235.6766678261,274.243601,32,31592862.8352,131.072,4,2,2,16,15796431.4176,0.0268553061683493
2023-11-02 00:00:00,m6idn.8xlarge,io,prod,1.4046016905,1.342221,32,154623.85920000000,131.072,4,2,2,16,77311.92960000000,0.03270236632277770
2023-11-02 00:00:00,m6in.4xlarge,cmp,prod,33.420823562500000,67.488887,16,3887359.8912,65.536,2,1,1,8,1943679.9456,0.03095030256842510
2023-11-02 00:00:00,r5.2xlarge,cmp,prod,2558.9820818819,9477.400354,8,272949130.1952,65.536,1,1,1,0,0.0,0.03375110771808150
2023-11-02 00:00:00,r5a.2xlarge,cmp,prod,271.8589554956,1275.580862,8,36736728.8256,65.536,1,1,1,0,0.0,0.026640701855363800
2023-11-02 00:00:00,r5ad.4xlarge,io,prod,939.8853986127,1296.949986,16,74704319.1936,131.072,2,2,2,0,0.0,0.04529306299194000
2023-11-02 00:00:00,r5ad.8xlarge,io,prod,504.1735317772,384.61,32,44307072.0,262.144,4,5,4,0,0.0,0.040964672962319000
